SU29010RMFS4={type_coupon=float, rating=XXX, offer=-}
SU29009RMFS6={type_coupon=float, rating=XXX, offer=-}
SU29008RMFS8={type_coupon=float, rating=XXX, offer=-}
SU29007RMFS0={type_coupon=float, rating=XXX, offer=-}
SU26229RMFS3={type_coupon=fixed, rating=XXX, offer=-}
SU26246RMFS7={type_coupon=fixed, rating=XXX, offer=-}
SU26250RMFS9={type_coupon=fixed, rating=XXX, offer=-}
SU26247RMFS5={type_coupon=fixed, rating=XXX, offer=-}
SU26245RMFS9={type_coupon=fixed, rating=XXX, offer=-}
SU26243RMFS4={type_coupon=fixed, rating=XXX, offer=-}
SU26225RMFS1={type_coupon=fixed, rating=XXX, offer=-}
SU26230RMFS1={type_coupon=fixed, rating=XXX, offer=-}
SU26233RMFS5={type_coupon=fixed, rating=XXX, offer=-}
SU26248RMFS3={type_coupon=fixed, rating=XXX, offer=-}
SU26221RMFS0={type_coupon=fixed, rating=XXX, offer=-}
SU26244RMFS2={type_coupon=fixed, rating=XXX, offer=-}
SU26240RMFS0={type_coupon=fixed, rating=XXX, offer=-}
SU26241RMFS8={type_coupon=fixed, rating=XXX, offer=-}
SU26249RMFS1={type_coupon=fixed, rating=XXX, offer=-}
SU26235RMFS0={type_coupon=fixed, rating=XXX, offer=-}
SU26238RMFS4={type_coupon=fixed, rating=XXX, offer=-}
SU26218RMFS6={type_coupon=fixed, rating=XXX, offer=-}
SU26239RMFS2={type_coupon=fixed, rating=XXX, offer=-}
SU26237RMFS6={type_coupon=fixed, rating=XXX, offer=-}
SU26228RMFS5={type_coupon=fixed, rating=XXX, offer=-}
SU26242RMFS6={type_coupon=fixed, rating=XXX, offer=-}
SU26232RMFS7={type_coupon=fixed, rating=XXX, offer=-}
SU26224RMFS4={type_coupon=fixed, rating=XXX, offer=-}
SU26212RMFS9={type_coupon=fixed, rating=XXX, offer=-}
SU26236RMFS8={type_coupon=fixed, rating=XXX, offer=-}
SU26219RMFS4={type_coupon=fixed, rating=XXX, offer=-}
SU26226RMFS9={type_coupon=fixed, rating=XXX, offer=-}
SU26207RMFS9={type_coupon=fixed, rating=XXX, offer=-}
SU46020RMFS2={type_coupon=amort, rating=XXX, offer=-}
SU46023RMFS6={type_coupon=amort, rating=XXX, offer=-}
SU52002RMFS1={type_coupon=-, rating=XXX, offer=-}
SU52003RMFS9={type_coupon=-, rating=XXX, offer=-}
SU52004RMFS7={type_coupon=-, rating=XXX, offer=-}
SU52005RMFS4={type_coupon=-, rating=XXX, offer=-}
SU46012RMFS9={type_coupon=amort, rating=XXX, offer=-}
SU26231RMFS9={type_coupon=fixed, rating=XXX, offer=-}
SU29013RMFS8={type_coupon=float, rating=XXX, offer=-}
SU29014RMFS6={type_coupon=float, rating=XXX, offer=-}
SU29015RMFS3={type_coupon=float, rating=XXX, offer=-}
SU29016RMFS1={type_coupon=float, rating=XXX, offer=-}
SU29017RMFS9={type_coupon=float, rating=XXX, offer=-}
SU29018RMFS7={type_coupon=float, rating=XXX, offer=-}
SU29019RMFS5={type_coupon=float, rating=XXX, offer=-}
SU29020RMFS3={type_coupon=float, rating=XXX, offer=-}
SU29021RMFS1={type_coupon=float, rating=XXX, offer=-}
SU29022RMFS9={type_coupon=float, rating=XXX, offer=-}
SU29023RMFS7={type_coupon=float, rating=XXX, offer=-}
SU29024RMFS5={type_coupon=float, rating=XXX, offer=-}
SU29025RMFS2={type_coupon=float, rating=XXX, offer=-}
SU29026RMFS0={type_coupon=float, rating=XXX, offer=-}
SU29027RMFS8={type_coupon=float, rating=XXX, offer=-}
RU000A109L72={type_coupon=-, rating=XXX, offer=-}
RU000A10BP38={type_coupon=-, rating=XXX, offer=-}
RU000A10ABC2={type_coupon=-, rating=XXX, offer=-}
RU000A10AAU6={type_coupon=float, rating=XXX, offer=-}
RU000A0ZYH93={type_coupon=amort, rating=XXX, offer=-}
RU000A0ZYKH5={type_coupon=amort, rating=XXX, offer=-}
RU000A1040S8={type_coupon=amort, rating=XXX, offer=-}
RU000A10BTJ7={type_coupon=amort, rating=XXX, offer=-}
RU000A101U61={type_coupon=amort, rating=XXX, offer=-}
RU000A1077U6={type_coupon=amort, rating=XXX, offer=-}
RU000A1087F6={type_coupon=amort, rating=XXX, offer=-}
RU000A102CX8={type_coupon=amort, rating=XXX, offer=-}
RU000A10AC75={type_coupon=amort, rating=XXX, offer=-}
RU000A106607={type_coupon=amort, rating=XXX, offer=-}
RU000A0ZYJ18={type_coupon=amort, rating=XXX, offer=-}
RU000A103DN5={type_coupon=amort, rating=XXX, offer=-}
RU000A106YE3={type_coupon=amort, rating=XXX, offer=-}
RU000A1010D3={type_coupon=amort, rating=XXX, offer=-}
RU000A1024L7={type_coupon=amort, rating=XXX, offer=-}
RU000A1043K9={type_coupon=amort, rating=XXX, offer=-}
RU000A105NT6={type_coupon=amort, rating=XXX, offer=-}
RU000A10BW70={type_coupon=amort, rating=XXX, offer=-}
RU000A1033B9={type_coupon=amort, rating=XXX, offer=-}
RU000A0JXS83={type_coupon=amort, rating=XXX, offer=-}
RU000A1099S4={type_coupon=amort, rating=XXX, offer=-}
RU000A102CT6={type_coupon=amort, rating=XXX, offer=-}
RU000A0ZZ9P8={type_coupon=amort, rating=XXX, offer=-}
RU000A102H34={type_coupon=amort, rating=XXX, offer=-}
RU000A1011B5={type_coupon=amort, rating=XXX, offer=-}
RU000A102LR1={type_coupon=amort, rating=XXX, offer=-}
RU000A101Z17={type_coupon=amort, rating=XXX, offer=-}
RU000A109RR3={type_coupon=amort, rating=XXX, offer=-}
RU000A1016N9={type_coupon=amort, rating=XXX, offer=-}
RU000A102DS6={type_coupon=amort, rating=XXX, offer=-}
RU000A107B19={type_coupon=amort, rating=XXX, offer=-}
RU000A102895={type_coupon=amort, rating=XXX, offer=-}
RU000A102DR8={type_coupon=amort, rating=XXX, offer=-}
RU000A102CR0={type_coupon=amort, rating=XXX, offer=-}
RU000A100CN3={type_coupon=amort, rating=XXX, offer=-}
RU000A101P27={type_coupon=amort, rating=XXX, offer=-}
RU000A0ZYKJ1={type_coupon=amort, rating=XXX, offer=-}
RU000A104BC0={type_coupon=amort, rating=XXX, offer=-}
RU000A102G35={type_coupon=amort, rating=XXX, offer=-}
RU000A10BV22={type_coupon=amort, rating=XXX, offer=-}
RU000A1020L5={type_coupon=amort, rating=XXX, offer=-}
RU000A1033Z8={type_coupon=fixed, rating=XXX, offer=-}
RU000A10A6J1={type_coupon=amort, rating=XXX, offer=-}
RU000A0JWT91={type_coupon=amort, rating=XXX, offer=-}
RU000A102FV5={type_coupon=amort, rating=XXX, offer=-}
RU000A100WF7={type_coupon=amort, rating=XXX, offer=-}
RU000A0ZZQQ0={type_coupon=amort, rating=XXX, offer=-}
RU000A10AC91={type_coupon=amort, rating=XXX, offer=-}
RU000A102A15={type_coupon=amort, rating=XXX, offer=-}
RU000A106FT0={type_coupon=amort, rating=XXX, offer=-}
RU000A10CSP4={type_coupon=amort, rating=XXX, offer=-}
RU000A0ZZQH9={type_coupon=amort, rating=XXX, offer=-}
RU000A1030T7={type_coupon=fixed, rating=XXX, offer=-}
RU000A0ZYDU3={type_coupon=amort, rating=XXX, offer=-}
RU000A1029G6={type_coupon=amort, rating=XXX, offer=-}
RU000A102KN2={type_coupon=amort, rating=XXX, offer=-}
RU000A102KT9={type_coupon=amort, rating=XXX, offer=-}
RU000A105ND0={type_coupon=amort, rating=XXX, offer=-}
RU000A0ZYCD1={type_coupon=amort, rating=XXX, offer=-}
RU000A101WD0={type_coupon=amort, rating=XXX, offer=-}
RU000A0JWHW8={type_coupon=amort, rating=XXX, offer=-}
RU000A1043E2={type_coupon=amort, rating=XXX, offer=-}
RU000A102M37={type_coupon=amort, rating=XXX, offer=-}
RU000A102K88={type_coupon=amort, rating=XXX, offer=-}
RU000A102L79={type_coupon=amort, rating=XXX, offer=-}
RU000A102L61={type_coupon=amort, rating=XXX, offer=-}
RU000A0ZZR33={type_coupon=amort, rating=XXX, offer=-}
RU000A0ZZXZ7={type_coupon=amort, rating=XXX, offer=-}
RU000A0ZZZV1={type_coupon=amort, rating=XXX, offer=-}
RU000A10CU55={type_coupon=fixed, rating=AA-, offer=-}
RU000A10C618={type_coupon=fixed, rating=AAA, offer=-}
RU000A109TW9={type_coupon=float, rating=AAA, offer=04.10.28}
RU000A108LU2={type_coupon=float, rating=AAA, offer=09.06.27}
RU000A109X29={type_coupon=float, rating=AA+, offer=-}
RU000A109L49={type_coupon=float, rating=AAA, offer=-}
RU000A10A7H3={type_coupon=float, rating=AAA, offer=-}
RU000A104B46={type_coupon=fixed, rating=AA+, offer=02.07.29}
RU000A10ASC6={type_coupon=amort, rating=AA, offer=-}
RU000A10CU89={type_coupon=fixed, rating=A+, offer=-}
RU000A10CMT9={type_coupon=fixed, rating=AAA, offer=-}
RU000A10CKS5={type_coupon=fixed, rating=AAA, offer=-}
RU000A109QN4={type_coupon=float, rating=A+, offer=29.09.26}
RU000A102H91={type_coupon=amort, rating=AA, offer=-}
RU000A10A349={type_coupon=float, rating=AAA, offer=-}
RU000A101Z74={type_coupon=fixed, rating=AA+, offer=03.08.28}
RU000A101EF3={type_coupon=fixed, rating=AA+, offer=09.02.26}
RU000A10C725={type_coupon=float, rating=AA+, offer=-}
RU000A106K43={type_coupon=float, rating=AAA, offer=-}
RU000A108ZH9={type_coupon=float, rating=AA, offer=24.06.27}
RU000A107ET1={type_coupon=float, rating=AAA, offer=-}
RU000A109KV0={type_coupon=float, rating=BBB-, offer=15.09.26}
RU000A10CC32={type_coupon=amort, rating=AA-, offer=-}
RU000A10BY94={type_coupon=fixed, rating=AA-, offer=-}
RU000A107S10={type_coupon=float, rating=AA, offer=-}
RU000A10C5L7={type_coupon=fixed, rating=A+, offer=-}
RU000A10B1Q6={type_coupon=fixed, rating=A-, offer=-}
RU000A107RZ0={type_coupon=fixed, rating=A, offer=03.02.26}
RU000A10C8F3={type_coupon=fixed, rating=A-, offer=-}
RU000A10C8H9={type_coupon=fixed, rating=BBB-, offer=-}
RU000A10CM06={type_coupon=fixed, rating=BBB-, offer=-}
RU000A10BW96={type_coupon=fixed, rating=A, offer=-}
RU000A10CB66={type_coupon=fixed, rating=BB-, offer=-}
RU000A0NR9R8={type_coupon=fixed, rating=AAA, offer=-}
RU000A107WL0={type_coupon=float, rating=AAA, offer=11.09.26}
RU000A10C8S6={type_coupon=fixed, rating=AAA, offer=-}
RU000A10ARS4={type_coupon=fixed, rating=BBB, offer=-}
RU000A1086N2={type_coupon=amort, rating=BB+, offer=-}
RU000A10BPZ1={type_coupon=fixed, rating=AA-, offer=-}
RU000A10B7T7={type_coupon=amort, rating=AA, offer=-}
RU000A10BFG2={type_coupon=fixed, rating=AAA, offer=-}
RU000A107UU5={type_coupon=amort, rating=A-, offer=18.09.25}
RU000A10CT33={type_coupon=fixed, rating=AAA, offer=-}
RU000A10CU97={type_coupon=amort, rating=BBB-, offer=-}
RU000A108G05={type_coupon=float, rating=AA, offer=-}
RU000A10B0Z9={type_coupon=fixed, rating=A-, offer=01.09.26}
RU000A10BPF3={type_coupon=fixed, rating=BBB, offer=-}
RU000A107UW1={type_coupon=float, rating=AAA, offer=-}
RU000A107UX9={type_coupon=float, rating=AAA, offer=-}
RU000A1069P3={type_coupon=fixed, rating=AAA, offer=-}
RU000A10B0A2={type_coupon=float, rating=AAA, offer=-}
RU000A106ZL5={type_coupon=float, rating=-, offer=-}
RU000A109K40={type_coupon=float, rating=AAA, offer=-}
RU000A109KT4={type_coupon=float, rating=-, offer=-}
RU000A10C3F4={type_coupon=amort, rating=AAA, offer=-}
RU000A109SH2={type_coupon=float, rating=AAA, offer=-}
RU000A109B33={type_coupon=fixed, rating=AAA, offer=-}
RU000A1008V9={type_coupon=float, rating=-, offer=30.09.24}
RU000A10B1N3={type_coupon=fixed, rating=AAA, offer=11.03.26}
RU000A105A61={type_coupon=fixed, rating=AAA, offer=07.10.25}
RU000A10C8C0={type_coupon=fixed, rating=AAA, offer=-}
RU000A10AAQ4={type_coupon=amort, rating=AAA, offer=-}
RU000A10CFK2={type_coupon=amort, rating=AA+, offer=-}
RU000A10C5T0={type_coupon=fixed, rating=A, offer=16.07.27}
RU000A10BS76={type_coupon=fixed, rating=A-, offer=-}
RU000A10CP78={type_coupon=fixed, rating=AAA, offer=-}
RU000A10AU73={type_coupon=fixed, rating=AA-, offer=-}
RU000A101TB0={type_coupon=fixed, rating=AAA, offer=-}
RU000A106AT1={type_coupon=fixed, rating=AAA, offer=28.02.28}
RU000A10CTG1={type_coupon=fixed, rating=BBB-, offer=-}
RU000A10CU48={type_coupon=amort, rating=AA-, offer=-}
RU000A10AHU1={type_coupon=fixed, rating=BBB-, offer=-}
RU000A10CLX3={type_coupon=fixed, rating=A, offer=-}
RU000A1095L7={type_coupon=float, rating=A, offer=05.02.25}
